user_id,event,timestamp,salary,channel
user_674,page_view,2026-08-07 08:25:42.607057,165443.0,google
user_491,application_submitted,2026-08-26 18:25:42.607057,168835.0,linkedin
user_322,application_started,2026-08-12 02:25:42.607057,90491.0,referral
user_72,job_search,2026-08-03 11:25:42.607057,159730.0,linkedin
user_926,application_submitted,2026-08-31 04:25:42.607057,146332.0,referral
user_458,job_search,2026-08-29 12:25:42.607057,58081.0,referral
user_497,page_view,2026-08-25 02:25:42.607057,47719.0,direct
user_305,application_submitted,2026-08-23 02:25:42.607057,,google
user_874,application_started,2026-08-08 17:25:42.607057,87509.0,linkedin
user_415,application_submitted,2026-08-11 09:25:42.607057,107999.0,direct
user_57,application_started,2026-08-02 15:25:42.607057,125306.0,referral
user_335,page_view,2026-08-02 11:25:42.607057,140693.0,linkedin
user_947,job_search,2026-08-07 16:25:42.607057,188908.0,direct
user_24,job_search,2026-08-15 21:25:42.607057,51941.0,direct
user_782,application_started,2026-08-01 17:25:42.607057,151575.0,google
user_727,job_search,2026-08-31 06:25:42.607057,68706.0,direct
user_568,application_started,2026-08-04 10:25:42.607057,183640.0,referral
user_95,job_search,2026-08-07 09:25:42.607057,65694.0,google
user_137,application_started,2026-08-14 04:25:42.607057,56706.0,linkedin
user_522,application_started,2026-08-15 20:25:42.607057,173036.0,google
user_496,job_search,2026-08-14 02:25:42.607057,63024.0,direct
user_818,page_view,2026-08-20 16:25:42.607057,,referral
user_584,application_started,2026-08-18 22:25:42.607057,56992.0,google
user_549,job_search,2026-08-19 03:25:42.607057,110490.0,google
user_214,application_started,2026-08-17 08:25:42.607057,193465.0,referral
user_439,page_view,2026-08-04 23:25:42.607057,,google
user_352,job_search,2026-08-18 01:25:42.607057,69949.0,google
user_909,page_view,2026-08-24 22:25:42.607057,71229.0,linkedin
user_946,application_submitted,2026-08-17 18:25:42.607057,155732.0,direct
user_616,application_submitted,2026-08-17 03:25:42.607057,159923.0,direct
user_445,application_submitted,2026-08-09 20:25:42.607057,40760.0,direct
user_316,application_submitted,2026-08-18 21:25:42.607057,101450.0,referral
user_974,application_submitted,2026-08-31 18:25:42.607057,176746.0,google
user_618,page_view,2026-08-13 15:25:42.607057,122889.0,referral
user_910,job_search,2026-08-11 18:25:42.607057,193354.0,google
user_631,application_submitted,2026-08-09 04:25:42.607057,121598.0,referral
user_115,application_submitted,2026-08-27 07:25:42.607057,79186.0,linkedin
user_291,page_view,2026-08-19 01:25:42.607057,195616.0,direct
user_270,application_started,2026-08-06 01:25:42.607057,65793.0,referral
user_194,application_started,2026-08-05 14:25:42.607057,59416.0,google
user_181,page_view,2026-08-23 15:25:42.607057,64309.0,google
user_0,page_view,2026-08-18 19:25:42.607057,143671.0,google
user_667,application_started,2026-08-16 17:25:42.607057,108804.0,direct
user_126,application_started,2026-09-01 05:25:42.607057,107441.0,linkedin
user_521,page_view,2026-08-15 01:25:42.607057,137291.0,referral
user_223,application_submitted,2026-08-29 18:25:42.607057,41675.0,google
user_530,job_search,2026-08-03 18:25:42.607057,132496.0,google
user_7,job_search,2026-08-24 13:25:42.607057,84846.0,google
user_556,job_search,2026-08-16 20:25:42.607057,123550.0,google
user_494,application_started,2026-08-31 10:25:42.607057,168965.0,linkedin
user_386,application_started,2026-08-12 21:25:42.607057,86118.0,linkedin
user_144,job_search,2026-08-03 11:25:42.607057,179146.0,google
user_335,application_submitted,2026-08-12 01:25:42.607057,58857.0,google
user_196,application_submitted,2026-08-04 17:25:42.607057,142886.0,direct
user_990,page_view,2026-08-07 03:25:42.607057,168198.0,direct
user_807,application_submitted,2026-08-09 10:25:42.607057,58665.0,referral
user_419,job_search,2026-08-31 00:25:42.607057,143966.0,linkedin
user_744,page_view,2026-08-22 05:25:42.607057,183017.0,referral
user_983,page_view,2026-09-01 03:25:42.607057,134013.0,direct
user_406,page_view,2026-08-24 22:25:42.607057,161314.0,referral
user_289,application_submitted,2026-08-30 15:25:42.607057,190503.0,referral
user_606,application_submitted,2026-08-25 07:25:42.607057,138825.0,linkedin
user_573,application_submitted,2026-08-01 23:25:42.607057,159989.0,google
user_541,page_view,2026-08-19 10:25:42.607057,74704.0,google
user_983,page_view,2026-08-24 15:25:42.607057,44844.0,linkedin
user_383,job_search,2026-08-26 16:25:42.607057,,google
user_42,page_view,2026-08-05 22:25:42.607057,118126.0,direct
user_350,application_started,2026-08-18 04:25:42.607057,190410.0,linkedin
user_888,page_view,2026-08-07 13:25:42.607057,163479.0,referral
user_75,job_search,2026-08-31 21:25:42.607057,101155.0,linkedin
user_215,job_search,2026-08-06 20:25:42.607057,61066.0,referral
user_209,job_search,2026-08-16 02:25:42.607057,175300.0,direct
user_928,application_started,2026-08-24 23:25:42.607057,43957.0,direct
user_670,application_submitted,2026-08-17 02:25:42.607057,180547.0,google
user_459,application_submitted,2026-08-19 22:25:42.607057,114492.0,google
user_335,application_submitted,2026-08-30 16:25:42.607057,122469.0,referral
user_184,page_view,2026-08-13 04:25:42.607057,189626.0,google
user_858,application_submitted,2026-08-01 22:25:42.607057,42193.0,linkedin
user_689,application_started,2026-08-29 07:25:42.607057,119260.0,referral
user_744,page_view,2026-08-22 18:25:42.607057,108900.0,linkedin
user_123,job_search,2026-08-27 19:25:42.607057,150357.0,linkedin
user_864,application_started,2026-08-01 13:25:42.607057,127478.0,linkedin
user_196,application_submitted,2026-08-29 11:25:42.607057,117804.0,direct
user_682,page_view,2026-08-19 17:25:42.607057,69679.0,linkedin
user_473,application_started,2026-08-19 06:25:42.607057,118019.0,google
user_385,application_submitted,2026-08-02 11:25:42.607057,146278.0,direct
user_815,application_submitted,2026-08-22 14:25:42.607057,80028.0,direct
user_557,application_submitted,2026-08-20 15:25:42.607057,152361.0,direct
user_19,job_search,2026-08-21 20:25:42.607057,63860.0,direct
